title,author,avg_rating,user_rating,cover_url,user_id
"Twilight (The Twilight Saga, #1)","",3.64,2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865._SY75_.jpg,8432851
The Great Gatsby,"",3.93,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SY75_.jpg,8432851
Pride and Prejudice,"",4.28,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SY75_.jpg,8432851
"The Hobbit (The Lord of the Rings, #0)","",4.28,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SY75_.jpg,8432851
The Catcher in the Rye,"",3.8,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107._SY75_.jpg,8432851
"The Fellowship of the Ring (The Lord of the Rings, #1)","",4.39,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298411339l/34._SX50_.jpg,8432851
"The Fellowship of the Ring (The Lord of the Rings, #1)","",4.39,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925l/61215351._SY75_.jpg,8432851
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","",4.23,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077l/100915._SY75_.jpg,8432851
Romeo and Juliet,"",3.74,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008l/18135._SY75_.jpg,8432851
"Fifty Shades of Grey (Fifty Shades, #1)","",3.66,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843l/10818853._SX50_.jpg,8432851
The Book Thief,"",4.39,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY75_.jpg,8432851
"A Game of Thrones (A Song of Ice and Fire, #1)","",4.44,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY75_.jpg,8432851
"A Game of Thrones (A Song of Ice and Fire, #1)","",4.44,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661026809l/11264999._SY75_.jpg,8432851
The Little Prince,"",4.32,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993._SY75_.jpg,8432851
"City of Bones (The Mortal Instruments, #1)","",4.08,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY75_.jpg,8432851
Wuthering Heights,"",3.88,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715l/6185._SY75_.jpg,8432851
Frankenstein,"",3.86,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665008650l/18490._SY75_.jpg,8432851
"Ender’s Game (Ender's Saga, #1)","",4.31,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802._SY75_.jpg,8432851
Dracula,"",4.01,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245._SY75_.jpg,8432851
Sense and Sensibility,"",4.08,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397245675l/14935._SY75_.jpg,8432851
Sharp Objects,"",4.01,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529402589l/37702968._SY75_.jpg,8432851
The Metamorphosis,"",3.85,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646444605l/485894._SY75_.jpg,8432851
"A Clash of Kings (A Song of Ice and Fire, #2)","",4.41,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212l/10572._SY75_.jpg,8432851
The Adventures of Tom Sawyer,"",3.92,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979l/24583._SY75_.jpg,8432851
American Gods,"",4.11,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498067936l/30653786._SY75_.jpg,8432851
"Fifty Shades Darker (Fifty Shades, #2)","",3.83,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631260114l/11857408._SY75_.jpg,8432851
Macbeth,"",3.9,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795224l/8852._SY75_.jpg,8432851
Emma,"",4.04,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373627931l/6969._SY75_.jpg,8432851
