title,author,avg_rating,user_rating,cover_url,user_id
Wanted: Bone-White Skull-Patterned Lace Trim,"Yu, Kelsea",5.0,5,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,15335689
"Fruits Basket Collector's Edition, Vol. 11","Takaya, Natsuki",4.79,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486862885l/30842007._SX50_.jpg,15335689
A Court of Thorns and Roses Coloring Book,"Maas, Sarah J.",4.72,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487862385l/31450846._SX50_.jpg,15335689
"Fruits Basket Collector's Edition, Vol. 10","Takaya, Natsuki",4.71,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483763316l/30363799._SX50_.jpg,15335689
"Fruits Basket Collector's Edition, Vol. 12","Takaya, Natsuki",4.71,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488984594l/31423213._SX50_.jpg,15335689
The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury,"Watterson, Bill",4.7,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418210541l/297839._SX50_.jpg,15335689
The H. P. Lovecraft Collection: Deluxe 6-Volume Slipcase Edition,"Lovecraft, H.P.",4.7,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599798262l/55296732._SY75_.jpg,15335689
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,"Watterson, Bill",4.7,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348810096l/681046._SX50_.jpg,15335689
OH FUCK OH FUCK IT HURTS: A Collection of Medical Horror,"Evans, Ruth Anna",4.71,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693172868l/197824149._SY75_.jpg,15335689
"Sweat and Soap, Vol. 11 (Sweat and Soap, #11)","Yamada, Kintetsu",4.68,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634024675l/57672016._SX50_.jpg,15335689
"Fruits Basket Collector's Edition, Vol. 6","Takaya, Natsuki",4.67,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472060690l/28962980._SX50_.jpg,15335689
"Fruits Basket Collector's Edition, Vol. 9","Takaya, Natsuki",4.67,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479835325l/30142026._SX50_.jpg,15335689
"Kingdom of Ash (Throne of Glass, #7)","Maas, Sarah J.",4.66,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531922609l/33590260._SY75_.jpg,15335689
"Fruits Basket Collector's Edition, Vol. 8","Takaya, Natsuki",4.65,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479835127l/29775378._SX50_.jpg,15335689
"Fruits Basket Collector's Edition, Vol. 3","Takaya, Natsuki",4.65,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465760715l/28219404._SX50_.jpg,15335689
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,"Watterson, Bill",4.64,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422379908l/43070._SX50_.jpg,15335689
"Fourth Wing (The Empyrean, #1)","Yarros, Rebecca",4.64,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697000609l/176403358._SY75_.jpg,15335689
